INSPIRE_ID;FORMA_OCHRONY;DOKLADNOSC_POLOZENIA;NAZWA;OBSZAR_AZP;NR_STANOWSIKA_OBSZAR;CHRONOLOGIA;FUNKCJA;WYKAZ_DOKUMENTOW;DATA_WPISU;WOJEWODZTWO;POWIAT;GMINA;MIEJSCOWOSC;LINK
PL.1.9.ZIPOZ.NID_A_02_AR.29688;rejestr zabytków;dokładny;Gogołów, st. 5;85-24;27;średniowiecze;osada;199/1034/Arch/82 z 1982-12-10;1982-12-10;dolnośląskie;świdnicki;Świdnica;Gogołów;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29688&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29667;rejestr zabytków;dokładny;Gogołów, st. 6;85-24;28;średniowiecze;osada;200/1035/Arch/82 z 1982-12-10;1982-12-10;dolnośląskie;świdnicki;Świdnica;Gogołów;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29667&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29544;rejestr zabytków;przybliżony;Grodziszcze, st. 1;86-24;2;średniowiecze;grodzisko;103/Arch z 1965-02-11;1965-02-11;dolnośląskie;świdnicki;Świdnica;Grodziszcze;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29544&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29645;rejestr zabytków;dokładny;Jagodnik, st. 1;85-24;21;średniowiecze;osada;187/1022/Arch/82 z 1982-12-03;1982-12-03;dolnośląskie;świdnicki;Świdnica;Jagodnik;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29645&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29641;rejestr zabytków;dokładny;Jagodnik, st. 2;85-24;22;średniowiecze;osada;188/1023/Arch/82 z 1982-12-03;1982-12-03;dolnośląskie;świdnicki;Świdnica;Jagodnik;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29641&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29649;rejestr zabytków;dokładny;Miłochów, st. 1;85-24;1;epoka żelaza;osada;191/1026/Arch/82 z 1982-12-03;1982-12-03;dolnośląskie;świdnicki;Świdnica;Miłochów;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29649&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29656;rejestr zabytków;dokładny;Miłochów, st. 2;85-24;5;średniowiecze;osada;192/1027/Arch/82 z 1982-12-03;1982-12-03;dolnośląskie;świdnicki;Świdnica;Miłochów;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29656&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29663;rejestr zabytków;dokładny;Miłochów, st. 3;85-24;24;epoka kamienia;osada;193/1028/Arch/82 z 1982-12-03;1982-12-03;dolnośląskie;świdnicki;Świdnica;Miłochów;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29663&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29653;rejestr zabytków;dokładny;Miłochów, st. 4;85-24;25;średniowiecze;osada;194/1029/Arch/82 z 1982-12-03;1982-12-03;dolnośląskie;świdnicki;Świdnica;Miłochów;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29653&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29737;rejestr zabytków;dokładny;Panków, st. 1;84-24;11;średniowiecze;osada;209/1068/Arch/83 z 1984-02-23;1984-02-23;dolnośląskie;świdnicki;Świdnica;Panków;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29737&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29728;rejestr zabytków;dokładny;Panków, st. 2;84-24;12;epoka żelaza;osada;210/1069/Arch/83 z 1984-02-23;1984-02-23;dolnośląskie;świdnicki;Świdnica;Panków;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29728&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29692;rejestr zabytków;dokładny;Pszenno, st. 1;85-24;15;epoka żelaza;osada;181/1016/Arch/82 z 1982-12-01;1982-12-01;dolnośląskie;świdnicki;Świdnica;Pszenno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29692&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29700;rejestr zabytków;dokładny;Pszenno, st. 2;85-24;16;epoka żelaza;osada;182/1017/Arch/82 z 1982-12-01;1982-12-01;dolnośląskie;świdnicki;Świdnica;Pszenno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29700&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29704;rejestr zabytków;dokładny;Pszenno, st. 3;85-24;18;średniowiecze;osada;183/1018/Arch/82 z 1982-12-01;1982-12-01;dolnośląskie;świdnicki;Świdnica;Pszenno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29704&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29719;rejestr zabytków;dokładny;Pszenno, st. 4;85-24;19;epoka żelaza;osada;184/1019/Arch/82 z 1982-12-01;1982-12-01;dolnośląskie;świdnicki;Świdnica;Pszenno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29719&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29696;rejestr zabytków;dokładny;Pszenno, st. 5;85-24;20;średniowiecze;osada;185/1020/82/Arch z 1982-12-01;1982-12-01;dolnośląskie;świdnicki;Świdnica;Pszenno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29696&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29715;rejestr zabytków;dokładny;Pszenno, st. 6;85-24;23;średniowiecze;osada;186/1021/Arch/82 z 1982-12-01;1982-12-01;dolnośląskie;świdnicki;Świdnica;Pszenno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29715&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29725;rejestr zabytków;przybliżony;Sulisławice, st. 1;84-23;29;epoka żelaza;cmentarzysko;444/Arch z 1969-04-20;1969-04-20;dolnośląskie;świdnicki;Świdnica;Sulisławice;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29725&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29722;rejestr zabytków;przybliżony;Wilków, st. 1;84-24;1;średniowiecze;grodzisko;227/Arch z 1966-05-16;1966-05-16;dolnośląskie;świdnicki;Świdnica;Wilków;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29722&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29741;rejestr zabytków;dokładny;Świdnica, st. 7;85-23;7;średniowiecze;grodzisko;9/Arch/2000 z 2000-09-04;2000-09-04;dolnośląskie;świdnicki;Świdnica (gm. miejska);Świdnica;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29741&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29837;rejestr zabytków;przybliżony;Mikoszowa, st. 1;82-23;39;epoka brązu ;cmentarzysko ciałopalne;447/Arch z 1969-04-20;1969-04-20;dolnośląskie;świdnicki;Żarów - obszar wiejski;Mikoszowa;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29837&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.29834;rejestr zabytków;przybliżony;Wierzbna, st. 1;84-23;32;średniowiecze;grodzisko;296/Arch z 1967-11-09;1967-11-09;dolnośląskie;świdnicki;Żarów - obszar wiejski;Wierzbna;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.29834&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35944;rejestr zabytków;dokładny;Bydgoszcz, st. 150;37-39;54;średniowiecze;grodzisko;B-4 z 1934-01-18, 57/C z 1965-12-29, C/6 z brak daty;1934-01-18;kujawsko-pomorskie;Bydgoszcz;Bydgoszcz;Bydgoszcz;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35944&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35942;rejestr zabytków;przybliżony;Bydgoszcz-Zamczysko, st. 70;37-38;54;średniowiecze;grodzisko;58/C z 1965-12-29;1965-12-29;kujawsko-pomorskie;Bydgoszcz;Bydgoszcz;Bydgoszcz;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35942&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35830;rejestr zabytków;przybliżony;Grabie, st. 17;43-43;163;średniowiecze;grodzisko;331/A z 1993-12-30;1993-12-30;kujawsko-pomorskie;aleksandrowski;Aleksandrów Kujawski;Grabie;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35830&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35828;rejestr zabytków;dokładny;Poczałkowo, st. 48;44-44;273;nowożytność ;grodzisko;334/A z 1993-12-30;1993-12-30;kujawsko-pomorskie;aleksandrowski;Aleksandrów Kujawski;Poczałkowo;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35828&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35825;rejestr zabytków;przybliżony;Brzeźno, st. 1;44-45;61;średniowiecze;grodzisko;184/A z 1985-05-13;1985-05-13;kujawsko-pomorskie;aleksandrowski;Koneck;Brzeźno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35825&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35822;rejestr zabytków;dokładny;Brzeźno, st. 11;44-45;62;średniowiecze;grodzisko;332/A z 1993-12-30;1993-12-30;kujawsko-pomorskie;aleksandrowski;Koneck;Brzeźno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35822&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35819;rejestr zabytków;przybliżony;Święte, st. 1;45-45;81;nieznana;grodzisko;175/A z 1985-01-31;1985-01-31;kujawsko-pomorskie;aleksandrowski;Koneck;Święte;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35819&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35817;rejestr zabytków;przybliżony;Raciążek, st. 1;43-45;35;średniowiecze;grodzisko;48/C z 1965-11-03, 112/48/C z 1985-06-10;1965-11-03;kujawsko-pomorskie;aleksandrowski;Raciążek;Raciążek;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35817&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35815;rejestr zabytków;dokładny;Przypust, st. 1;44-46;12;średniowiecze;grodzisko;50/C z 1965-11-04, 99/C z 1968-12-11, 111/99/C z 1985-06-10;1965-11-04;kujawsko-pomorskie;aleksandrowski;Waganiec;Przypust;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35815&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.868;rejestr zabytków;dokładny;Grążawy, st. 1;34-52;1;średniowiecze;grodzisko;71/C z 1968-01-09, brak numeru z 2003-05-15;1968-01-09;kujawsko-pomorskie;brodnicki;Bartniczka;Grążawy;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.868&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.870;rejestr zabytków;dokładny;Grążawy, st. 2;34-52;2;średniowiecze;osada;C/65 z 2003-05-22;2003-05-22;kujawsko-pomorskie;brodnicki;Bartniczka;Grążawy;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.870&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35708;rejestr zabytków;przybliżony;Radoszki, st. 1;35-53;5;niemożliwa do uzyskania;grodzisko;B-12 z 1933-12-18;1933-12-18;kujawsko-pomorskie;brodnicki;Bartniczka;Radoszki;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35708&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35694;rejestr zabytków;dokładny;Bobrowo, st. 1;34-50;3;niemożliwa do uzyskania;grodzisko;112/C z 1969-11-12, C/95 z 2005-05-24;1969-11-12;kujawsko-pomorskie;brodnicki;Bobrowo;Bobrowo;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35694&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35697;rejestr zabytków;dokładny;Chojno, st. 1;34-50;23;średniowiecze;grodzisko;111/C z 1969-11-12, C/94 z 2004-06-16;1969-11-12;kujawsko-pomorskie;brodnicki;Bobrowo;Chojno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35697&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35699;rejestr zabytków;przybliżony;Wymokłe, st. 1;36-49;1;średniowiecze;grodzisko;575 z 1988-02-04;1988-02-04;kujawsko-pomorskie;brodnicki;Bobrowo;Słoszewy;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35699&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35706;rejestr zabytków;dokładny;Karbowo, st. 1;34-51;1;średniowiecze;grodzisko;107/C z 1969-11-07, C/91 z 2004-06-17;1969-11-07;kujawsko-pomorskie;brodnicki;Brodnica;Karbowo;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35706&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.948;rejestr zabytków;dokładny;Mszano, st. 14;35-50;45;epoka kamienia;obozowisko;C/165 z 2006-11-24;2006-11-24;kujawsko-pomorskie;brodnicki;Brodnica;Mszano;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.948&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35701;rejestr zabytków;przybliżony;Niewierz, st. 1;35-50;45;niemożliwa do uzyskania;grodzisko;110/C z 1969-11-07;1969-11-07;kujawsko-pomorskie;brodnicki;Brodnica;Niewierz;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35701&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35703;rejestr zabytków;przybliżony;Szczuka, st. 2;36-51;47;niemożliwa do uzyskania;grodzisko;116/C z 1969-11-12;1969-11-12;kujawsko-pomorskie;brodnicki;Brodnica;Szczuka;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35703&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.975;rejestr zabytków;przybliżony;Górzno, st. 1;36-53;44;średniowiecze;grodzisko;70/C z 1968-01-09;1968-01-09;kujawsko-pomorskie;brodnicki;Górzno - miasto;Górzno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.975&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35668;rejestr zabytków;przybliżony;Jabłonowo Zamek, st. 1;32-48;243;średniowiecze;grodzisko;117/C z 1969-09-18;1969-09-18;kujawsko-pomorskie;brodnicki;Jabłonowo Pomorskie - obszar wiejski;Jabłonowo-Zamek;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35668&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35671;rejestr zabytków;przybliżony;Jaguszewice, st. 1;32-48;242;średniowiecze;grodzisko;C/158 z 2003-10-01;2003-10-01;kujawsko-pomorskie;brodnicki;Jabłonowo Pomorskie - obszar wiejski;Jaguszewice;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35671&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35673;rejestr zabytków;przybliżony;Lembarg, st. 6;33-49;1;niemożliwa do uzyskania;grodzisko;109/C z 1969-11-07;1969-11-07;kujawsko-pomorskie;brodnicki;Jabłonowo Pomorskie - obszar wiejski;Lembarg;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35673&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35636;rejestr zabytków;przybliżony;Płowęż, st. 1;31-49;1;niemożliwa do uzyskania;grodzisko;115/C z 1969-11-12;1969-11-12;kujawsko-pomorskie;brodnicki;Jabłonowo Pomorskie - obszar wiejski;Płowęż;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35636&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35632;rejestr zabytków;przybliżony;Płowęż, st. 2;31-49;2;niemożliwa do uzyskania;grodzisko;114/C z 1969-11-12;1969-11-12;kujawsko-pomorskie;brodnicki;Jabłonowo Pomorskie - obszar wiejski;Płowęż;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35632&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35715;rejestr zabytków;przybliżony;Osiek, st. 1;37-51;1;średniowiecze;grodzisko;17 z 1965-09-15;1965-09-15;kujawsko-pomorskie;brodnicki;Osiek;Osiek;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35715&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35713;rejestr zabytków;dokładny;Strzygi, st. 1;37-51;15;średniowiecze;grodzisko;14 z 1965-09-15, C/23 z 2005-07-05;1965-09-15;kujawsko-pomorskie;brodnicki;Osiek;Strzygi;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35713&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.88628;rejestr zabytków;przybliżony;Pokrzydowo, st. 1;33-51;1;średniowiecze;grodzisko;118/C z 1969-11-24, C/101 z 2004-06-18;1969-11-24;kujawsko-pomorskie;brodnicki;Zbiczno;Pokrzydowo;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.88628&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35683;rejestr zabytków;dokładny;Pokrzydowo, st. 2;33-51;2;średniowiecze;grodzisko;108/C z 1969-11-07, C/92 z 2004-06-18;1969-11-07;kujawsko-pomorskie;brodnicki;Zbiczno;Pokrzydowo;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35683&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35687;rejestr zabytków;przybliżony;Żmijewko, st. 1;34-51;2;średniowiecze;grodzisko;113/C z 1969-11-12, C/96 z 2004-05-31;1969-11-12;kujawsko-pomorskie;brodnicki;Zbiczno;Żmijewko;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35687&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35710;rejestr zabytków;dokładny;Księte, st. 1;37-53;32;średniowiecze;grodzisko;73/C z 1968-01-27, C/66 z 2005-06-07;1968-01-27;kujawsko-pomorskie;brodnicki;Świedziebnia;Księte;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35710&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35946;rejestr zabytków;przybliżony;Strzelce Dolne, st. 1;36-39;43;średniowiecze;grodzisko;C/162 z 2003-11-12;2003-11-12;kujawsko-pomorskie;bydgoski;Dobrcz;Strzelce Dolne;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35946&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35956;rejestr zabytków;przybliżony;Gzin, st. 1;36-40;94;średniowiecze;grodzisko;30/C z 1965-09-27;1965-09-27;kujawsko-pomorskie;bydgoski;Dąbrowa Chełmińska;Gzin;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35956&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35952;rejestr zabytków;przybliżony;Pień-Mozgowina, st. 1;36-40;126;średniowiecze;grodzisko;6 z 1965-09-15;1965-09-15;kujawsko-pomorskie;bydgoski;Dąbrowa Chełmińska;Mozgowina;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35952&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.952;rejestr zabytków;dokładny;Pień, st. 1;36-40;131;średniowiecze;grodzisko;C/163 z 2004-12-29;2004-12-29;kujawsko-pomorskie;bydgoski;Dąbrowa Chełmińska;Pień;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.952&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35954;rejestr zabytków;przybliżony;Pień, st. 12;36-40;123;średniowiecze;grodzisko;47/C z 1965-11-03;1965-11-03;kujawsko-pomorskie;bydgoski;Dąbrowa Chełmińska;Pień;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35954&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35949;rejestr zabytków;przybliżony;Strzyżawa, st. 1;37-39;78;średniowiecze;grodzisko;31/C z 1965-09-27;1965-09-27;kujawsko-pomorskie;bydgoski;Dąbrowa Chełmińska;Strzyżawa;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35949&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35190;rejestr zabytków;dokładny;Kałdus, st. 3,6;33-41;3,6;średniowiecze;grodzisko;55/C z 1965-12-29, 32/55/C z 1997-10-21;1965-12-29;kujawsko-pomorskie;chełmiński;Chełmno;Kałdus;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35190&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35193;rejestr zabytków;dokładny;Starogród, st. 1;34-41;35;niemożliwa do uzyskania;fortyfikacje;A/102/31 z 1930-04-04, C/4 z 2003-05-27, brak numeru z 2003-06-10;1930-04-04;kujawsko-pomorskie;chełmiński;Chełmno;Starogród;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35193&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35198;rejestr zabytków;dokładny;Szymborno, st. 1;34-41;44;średniowiecze;grodzisko;C/156 z 2003-08-27;2003-08-27;kujawsko-pomorskie;chełmiński;Kijewo Królewskie;Szymborno;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35198&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35202;rejestr zabytków;dokładny;Jeleniec, st. 1;34-43;7;średniowiecze;grodzisko;15 z 1965-09-15, C/24 z 2003-07-08;1965-09-15;kujawsko-pomorskie;chełmiński;Papowo Biskupie;Jeleniec;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35202&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35204;rejestr zabytków;dokładny;Żygląd, st. 1;35-43;35;średniowiecze;grodzisko;23 z 1965-09-16, C/32 z 2003-09-08;1965-09-16;kujawsko-pomorskie;chełmiński;Papowo Biskupie;Żygląd;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35204&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35186;rejestr zabytków;dokładny;Sarnowo, st. 1;32-44;45;średniowiecze;grodzisko;98/C z 1968-12-11, C/85 z 2003-05-27;1968-12-11;kujawsko-pomorskie;chełmiński;Stolno;Sarnowo;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35186&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35188;rejestr zabytków;przybliżony;Wabcz, st. 1;33-43;1;średniowiecze;grodzisko;1 z 1965-09-14;1965-09-14;kujawsko-pomorskie;chełmiński;Stolno;Wabcz;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35188&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_04_AR.35196;rejestr zabytków;dokładny;Unisław, st. 1;36-41;7;średniowiecze;grodzisko;5 z 1965-09-15, C/18 z 2003-07-01;1965-09-15;kujawsko-pomorskie;chełmiński;Unisław;Unisław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_04_AR.35196&rejestr=rejestr-zabytkow
